2.57.3.0	2.57.3.255	Enteghal Dadeh Mahan Co. PJSC
2.144.0.0	2.144.0.255	Iran Cell Service and Communication Company
2.144.1.0	2.144.1.255	Iran Cell Service and Communication Company
2.144.2.0	2.144.2.255	Iran Cell Service and Communication Company
2.144.3.0	2.144.3.255	Iran Cell Service and Communication Company
2.144.4.0	2.144.5.255	Iran Cell Service and Communication Company
2.144.6.0	2.144.6.255	Iran Cell Service and Communication Company
2.144.7.0	2.144.7.255	Iran Cell Service and Communication Company
2.144.8.0	2.144.8.255	Iran Cell Service and Communication Company
2.144.9.0	2.144.9.255	Iran Cell Service and Communication Company
2.144.10.0	2.144.11.255	Iran Cell Service and Communication Company
2.144.12.0	2.144.12.255	Iran Cell Service and Communication Company
2.144.13.0	2.144.13.255	Iran Cell Service and Communication Company
2.144.14.0	2.144.15.255	Iran Cell Service and Communication Company
2.144.16.0	2.144.19.255	Iran Cell Service and Communication Company
2.144.20.0	2.144.23.255	Iran Cell Service and Communication Company
2.144.24.0	2.144.31.255	Iran Cell Service and Communication Company
2.144.32.0	2.144.63.255	Iran Cell Service and Communication Company
2.144.64.0	2.144.127.255	Iran Cell Service and Communication Company
2.144.128.0	2.144.191.255	Iran Cell Service and Communication Company
2.144.192.0	2.144.192.255	Iran Cell Service and Communication Company
2.144.193.0	2.144.193.255	Iran Cell Service and Communication Company
2.144.194.0	2.144.195.255	Iran Cell Service and Communication Company
2.144.196.0	2.144.199.255	Iran Cell Service and Communication Company
2.144.200.0	2.144.207.255	Iran Cell Service and Communication Company
2.144.208.0	2.144.223.255	Iran Cell Service and Communication Company
2.144.224.0	2.144.239.255	Iran Cell Service and Communication Company
2.144.240.0	2.144.241.255	Iran Cell Service and Communication Company
2.144.242.0	2.144.243.255	Iran Cell Service and Communication Company
2.144.244.0	2.144.247.255	Iran Cell Service and Communication Company
2.144.248.0	2.144.255.255	Iran Cell Service and Communication Company
2.145.0.0	2.145.15.255	Iran Cell Service and Communication Company
2.145.16.0	2.145.31.255	Iran Cell Service and Communication Company
2.145.32.0	2.145.47.255	Iran Cell Service and Communication Company
2.145.48.0	2.145.63.255	Iran Cell Service and Communication Company
2.145.64.0	2.145.79.255	Iran Cell Service and Communication Company
2.145.80.0	2.145.95.255	Iran Cell Service and Communication Company
2.145.96.0	2.145.111.255	Iran Cell Service and Communication Company
2.145.112.0	2.145.127.255	Iran Cell Service and Communication Company
2.145.128.0	2.145.143.255	Iran Cell Service and Communication Company
2.145.144.0	2.145.159.255	Iran Cell Service and Communication Company
2.145.160.0	2.145.175.255	Iran Cell Service and Communication Company
2.145.176.0	2.145.191.255	Iran Cell Service and Communication Company
2.145.192.0	2.145.207.255	Iran Cell Service and Communication Company
2.145.208.0	2.145.223.255	Iran Cell Service and Communication Company
2.145.224.0	2.145.239.255	Iran Cell Service and Communication Company
2.145.240.0	2.145.255.255	Iran Cell Service and Communication Company
2.146.0.0	2.146.63.255	Iran Cell Service and Communication Company
2.146.64.0	2.146.64.255	Iran Cell Service and Communication Company
2.146.65.0	2.146.65.255	Iran Cell Service and Communication Company
2.146.66.0	2.146.67.255	Iran Cell Service and Communication Company
2.146.68.0	2.146.71.255	Iran Cell Service and Communication Company
2.146.72.0	2.146.79.255	Iran Cell Service and Communication Company
2.146.80.0	2.146.95.255	Iran Cell Service and Communication Company
2.146.96.0	2.146.127.255	Iran Cell Service and Communication Company
2.146.128.0	2.146.255.255	Iran Cell Service and Communication Company
2.147.0.0	2.147.3.255	Iran Cell Service and Communication Company
2.147.4.0	2.147.4.255	Iran Cell Service and Communication Company
2.147.5.0	2.147.5.255	Iran Cell Service and Communication Company
2.147.6.0	2.147.7.255	Iran Cell Service and Communication Company
2.147.8.0	2.147.15.255	Iran Cell Service and Communication Company
2.147.16.0	2.147.23.255	Iran Cell Service and Communication Company
2.147.24.0	2.147.31.255	Iran Cell Service and Communication Company
2.147.32.0	2.147.39.255	Iran Cell Service and Communication Company
2.147.40.0	2.147.47.255	Iran Cell Service and Communication Company
2.147.48.0	2.147.55.255	Iran Cell Service and Communication Company
2.147.56.0	2.147.63.255	Iran Cell Service and Communication Company
2.147.64.0	2.147.71.255	Iran Cell Service and Communication Company
2.147.72.0	2.147.79.255	Iran Cell Service and Communication Company
2.147.80.0	2.147.87.255	Iran Cell Service and Communication Company
2.147.88.0	2.147.95.255	Iran Cell Service and Communication Company
2.147.96.0	2.147.103.255	Iran Cell Service and Communication Company
2.147.104.0	2.147.111.255	Iran Cell Service and Communication Company
2.147.112.0	2.147.119.255	Iran Cell Service and Communication Company
2.147.120.0	2.147.127.255	Iran Cell Service and Communication Company
2.147.128.0	2.147.135.255	Iran Cell Service and Communication Company
2.147.136.0	2.147.143.255	Iran Cell Service and Communication Company
2.147.144.0	2.147.151.255	Iran Cell Service and Communication Company
2.147.152.0	2.147.159.255	Iran Cell Service and Communication Company
2.147.160.0	2.147.167.255	Iran Cell Service and Communication Company
2.147.168.0	2.147.175.255	Iran Cell Service and Communication Company
2.147.176.0	2.147.183.255	Iran Cell Service and Communication Company
2.147.184.0	2.147.191.255	Iran Cell Service and Communication Company
2.147.192.0	2.147.199.255	Iran Cell Service and Communication Company
